startTime, stopTime, KP name, comment
2023-09-15 02:00:00,2023-09-15 04:00:00,LT12 Radio Gamma,NenuFAR booking
2023-09-15 16:00:00,2023-09-15 18:00:00,LT12 Radio Gamma,NenuFAR booking
2023-09-15 23:00:00,2023-09-16 03:00:00,RP1B NenuFAR Low-Frequency Sky Survey,NenuFAR booking
2023-09-16 10:00:00,2023-09-16 11:00:00,LT03 Pulsars,NenuFAR booking
2023-09-17 23:00:00,2023-09-18 03:00:00,RP1B NenuFAR Low-Frequency Sky Survey,NenuFAR booking
2023-09-18 10:00:00,2023-09-18 11:00:00,LT03 Pulsars,NenuFAR booking
2023-09-19 00:00:00,2023-09-19 04:00:00,LT05 Fast Radio Bursts,NenuFAR booking
2023-09-19 10:00:00,2023-09-19 14:00:00,LT03 Pulsars,NenuFAR booking
2023-09-19 19:00:00,2023-09-20 04:00:00,LT01 Cosmic Dawn,NenuFAR booking
2023-09-20 10:00:00,2023-09-20 15:00:00,LT11 Sun,NenuFAR booking
2023-09-20 16:00:00,2023-09-20 19:00:00,LT12 Radio Gamma,NenuFAR booking
2023-09-21 00:00:00,2023-09-21 03:00:00,LT03 Pulsars,NenuFAR booking
2023-09-21 10:00:00,2023-09-21 15:00:00,LT11 Sun,NenuFAR booking
2023-09-21 21:00:00,2023-09-22 00:00:00,LT03 Pulsars,NenuFAR booking
2023-09-22 00:00:00,2023-09-22 04:00:00,LT05 Fast Radio Bursts,NenuFAR booking
2023-09-22 10:00:00,2023-09-22 15:00:00,LT11 Sun,NenuFAR booking
2023-09-22 23:00:00,2023-09-23 03:00:00,RP1B NenuFAR Low-Frequency Sky Survey,NenuFAR booking
2023-09-23 10:00:00,2023-09-23 15:00:00,LT11 Sun,NenuFAR booking
2023-09-24 00:00:00,2023-09-24 02:00:00,LT03 Pulsars,NenuFAR booking
2023-09-24 05:00:00,2023-09-24 08:00:00,LT12 Radio Gamma,NenuFAR booking
2023-09-24 10:00:00,2023-09-24 15:00:00,LT11 Sun,NenuFAR booking
2023-09-24 21:00:00,2023-09-25 02:00:00,LT06 Planetary Lightning,NenuFAR booking
2023-09-25 10:00:00,2023-09-25 15:00:00,LT11 Sun,NenuFAR booking
2023-09-25 23:00:00,2023-09-26 03:00:00,RP1B NenuFAR Low-Frequency Sky Survey,NenuFAR booking
2023-09-26 10:00:00,2023-09-26 11:00:00,LT03 Pulsars,NenuFAR booking
2023-09-26 11:00:00,2023-09-26 13:00:00,LT12 Radio Gamma,NenuFAR booking
2023-09-26 13:00:00,2023-09-26 14:00:00,LT03 Pulsars,NenuFAR booking
2023-09-27 00:00:00,2023-09-27 03:00:00,LT12 Radio Gamma,NenuFAR booking
2023-09-27 16:00:00,2023-09-27 19:00:00,LT12 Radio Gamma,NenuFAR booking
2023-09-27 20:00:00,2023-09-27 21:00:00,RP2A M31,NenuFAR booking
2023-09-28 10:00:00,2023-09-28 14:00:00,LT03 Pulsars,NenuFAR booking
2023-09-28 23:00:00,2023-09-29 03:00:00,RP1B NenuFAR Low-Frequency Sky Survey,NenuFAR booking
2023-09-29 11:00:00,2023-09-30 11:00:00,LT03 Pulsars,NenuFAR booking
2023-10-01 07:00:00,2023-10-01 11:00:00,LT05 Fast Radio Bursts,NenuFAR booking
2023-10-01 23:00:00,2023-10-02 03:00:00,RP1B NenuFAR Low-Frequency Sky Survey,NenuFAR booking
2023-10-02 09:00:00,2023-10-02 10:00:00,LT03 Pulsars,NenuFAR booking
2023-10-03 02:00:00,2023-10-03 11:00:00,LT05 Fast Radio Bursts,NenuFAR booking
2023-10-03 18:00:00,2023-10-03 21:00:00,LT12 Radio Gamma,NenuFAR booking
2023-10-03 23:00:00,2023-10-04 02:00:00,LT03 Pulsars,NenuFAR booking
2023-10-04 02:00:00,2023-10-04 06:00:00,LT05 Fast Radio Bursts,NenuFAR booking
2023-10-04 07:00:00,2023-10-04 11:00:00,LT05 Fast Radio Bursts,NenuFAR booking
2023-10-04 15:00:00,2023-10-04 18:00:00,LT12 Radio Gamma,NenuFAR booking
2023-10-04 20:00:00,2023-10-04 23:00:00,LT03 Pulsars,NenuFAR booking
2023-10-04 23:00:00,2023-10-05 03:00:00,RP1B NenuFAR Low-Frequency Sky Survey,NenuFAR booking
2023-10-05 08:00:00,2023-10-05 14:00:00,LT03 Pulsars,NenuFAR booking
2023-10-05 20:00:00,2023-10-06 00:00:00,LT05 Fast Radio Bursts,NenuFAR booking
2023-10-06 09:00:00,2023-10-06 10:00:00,LT03 Pulsars,NenuFAR booking
2023-10-06 12:00:00,2023-10-06 13:00:00,LT03 Pulsars,NenuFAR booking
2023-10-06 20:00:00,2023-10-07 00:00:00,LT05 Fast Radio Bursts,NenuFAR booking
2023-10-07 00:00:00,2023-10-07 02:00:00,LT12 Radio Gamma,NenuFAR booking
2023-10-07 23:00:00,2023-10-08 03:00:00,RP1B NenuFAR Low-Frequency Sky Survey,NenuFAR booking
2023-10-08 05:00:00,2023-10-08 09:00:00,LT05 Fast Radio Bursts,NenuFAR booking
2023-10-08 18:00:00,2023-10-09 00:00:00,LT06 Planetary Lightning,NenuFAR booking
2023-10-09 05:00:00,2023-10-09 09:00:00,LT05 Fast Radio Bursts,NenuFAR booking
2023-10-10 03:00:00,2023-10-10 06:00:00,LT12 Radio Gamma,NenuFAR booking
2023-10-10 18:00:00,2023-10-11 05:00:00,LT01 Cosmic Dawn,NenuFAR booking
2023-10-11 05:00:00,2023-10-11 09:00:00,LT05 Fast Radio Bursts,NenuFAR booking
2023-10-11 10:00:00,2023-10-11 14:00:00,LT03 Pulsars,PZ rebook
2023-10-11 19:00:00,2023-10-11 20:00:00,RP2A M31,NenuFAR booking
2023-10-11 23:00:00,2023-10-12 03:00:00,RP1B NenuFAR Low-Frequency Sky Survey,NenuFAR booking
2023-10-12 10:00:00,2023-10-12 15:00:00,LT11 Sun,PZ rebook
2023-10-12 15:00:00,2023-10-12 18:00:00,LT12 Radio Gamma,NenuFAR booking
2023-10-12 22:00:00,2023-10-13 04:00:00,LT06 Planetary Lightning,NenuFAR booking
2023-10-13 10:00:00,2023-10-13 15:00:00,LT11 Sun,PZ rebook
2023-10-13 18:00:00,2023-10-14 08:00:00,LT07 Joint Jupiter studies,NenuFAR booking
2023-10-14 10:00:00,2023-10-14 15:00:00,LT11 Sun,PZ rebook
2023-10-14 18:00:00,2023-10-15 08:00:00,LT07 Joint Jupiter studies,NenuFAR booking
2023-10-15 10:00:00,2023-10-15 15:00:00,LT11 Sun,PZ rebook
2023-10-15 18:00:00,2023-10-15 21:00:00,LT12 Radio Gamma,NenuFAR booking
2023-10-15 23:00:00,2023-10-16 03:00:00,RP1B NenuFAR Low-Frequency Sky Survey,NenuFAR booking
2023-10-16 10:00:00,2023-10-16 15:00:00,LT11 Sun,PZ rebook
2023-10-16 23:00:00,2023-10-17 23:00:00,LT03 Pulsars,NenuFAR booking
2023-10-17 23:00:00,2023-10-18 03:00:00,RP1B NenuFAR Low-Frequency Sky Survey,NenuFAR booking
2023-10-18 03:00:00,2023-10-18 06:00:00,LT12 Radio Gamma,NenuFAR booking
